address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.122806,https://www.iproperty.com.my/property/maisson-ara-damansara-5414356,101.583772,"Maisson, Ara Damansara","RM 360,000",High,500 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.105324,https://www.iproperty.com.my/property/seri-pinang-setia-alam-5559129,101.462881,"Seri Pinang, Shah Alam, Setia Alam","RM 310,000",High,850 sq. ft.,Freehold
"Jalan Puri, Desa Aman Puri, 52100 Kepong, WP Kuala, 52200, K...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.213007,https://www.iproperty.com.my/property/perdana-puri-kepong-4067123,101.612964,"Perdana Puri, Kepong","RM 330,000",High,906 sq. ft.,Freehold
"Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480 S, 50480, K...","Studio Bedroom(s),1 Bathroom(s)",3.164019,https://www.iproperty.com.my/property/dorchester-apartment-sri-hartamas-5551488,101.655657,"Dorchester Apartment, Sri Hartamas","RM 370,000",High,410 sq. ft.,Freehold
"Jalan PJU 1A/3, Ara Damansara, 47301, Selangor","Studio Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.122416,https://www.iproperty.com.my/property/maisson-ara-damansara-5190375,101.589154,"Maisson, Ara Damansara","RM 368,000",High,500 sq. ft.,Freehold
"Hussein Onn, Cheras Perdana, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.047354,https://www.iproperty.com.my/property/cheras-perdana-ria-apartment-cheras-5231713,101.771164,"Cheras Perdana Ria Apartment, D Puncak Suasan..","RM 335,000",High,"1,088 sq. ft.",Freehold
"Jalan Panglima, Persiaran Mahkota Cheras 1, Selangor","3 Bedroom(s),2 Bathroom(s)",3.052011,https://www.iproperty.com.my/property/suria-court-cheras-5389579,101.782752,"Suria Court, Cheras South, Cheras","RM 330,000",High,"1,104 sq. ft.",Freehold
"Jalan Wangsa 2/6, 52200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.209579,https://www.iproperty.com.my/property/vista-saujana-kepong-5020402,101.611626,"Vista Saujana, Taman Wangsa Permai, Kepong","RM 370,000",High,955 sq. ft.,Freehold
"Jalan Sungai Long, Bandar Baru Sungai Long, 43000, 43000, Se...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.046647,https://www.iproperty.com.my/property/green-acre-kajang-4995592,101.805206,"Green Acre, Kajang","RM 350,000",High,"1,012 sq. ft.",Freehold
"Jalan Bahagia 10, Taman Sri Bahagia, 56000 Cheras,, 43000, K...","3 Bedroom(s),2 Bathroom(s)",3.059611,https://www.iproperty.com.my/property/sri-bahagia-court-cheras-5567111,101.752251,"Sri Bahagia Court, Cheras","RM 305,000",High,833 sq. ft.,Freehold
"Jalan Sungai Long, Bandar Baru Sungai Long, 43000, 43000, Se...","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",0,https://www.iproperty.com.my/property/forest-green-kajang-4447632,0,"Forest Green, Bandar Sungai Long, Kajang","RM 360,000",High,958 sq. ft.,Freehold
